"POS
NAL.","POS
DPTO","COD
ICFES",INSTITUCION,MUNICIPIO,NATURALEZA,JORNADA,EVALUADOS,PG  2022,PG 2021,"VARIACIÓN
PG",LC 2022,LC 2021,"VARIACIÓN
LC",MAT 2022,MAT 2021,"VARIACIÓN
MAT",SYC 2022,SYC 2021,"VARIACIÓN
SYC",CN 2022,CN 2021,"VARIACIÓN
CN",ING 2022,ING 2021,"VARIACIÓN
ING"
10502,771,50369,COMUNITARIA LUIS CARLOS VALENCIA,JAMUNDÍ,OFICIAL,MAÑANA,34,200.0,204.0,-4.0,43,45.0,-2.0,39,41.0,-2.0,38,39.0,-1.0,40,39.0,1.0,40,38.0,2.0
10516,772,736470,NIÑO JESUS DE ATOCHA,CALI,OFICIAL,ÚNICA,33,200.0,210.0,-10.0,44,47.0,-3.0,38,40.0,-2.0,37,40.0,-3.0,41,41.0,0.0,40,42.0,-2.0
10528,773,151043,COLEGIO TECNICO EN SISTEMAS PUERTO DEL MAR,BUENAVENTURA,NO OFICIAL,MAÑANA,10,199.6,218.0,-18.4,45,48.0,-3.0,40,42.0,-2.0,38,43.0,-5.0,38,42.0,-4.0,36,41.0,-5.0
10547,774,556514,LOS BANCOS,GUADALAJARA DE BUGA,OFICIAL,ÚNICA,1,199.6,237.0,-37.4,28,51.0,-23.0,41,44.0,-3.0,46,49.0,-3.0,44,49.0,-5.0,42,37.0,5.0
10617,775,555219,SIMON BOLIVAR,BUENAVENTURA,OFICIAL,MAÑANA,6,198.5,162.0,36.5,41,31.0,10.0,33,31.0,2.0,43,32.0,11.0,41,34.0,7.0,42,37.0,5.0
10618,776,89565,ALFONSO LOPEZ PUMAREJO,BUENAVENTURA,OFICIAL,MAÑANA,24,198.1,203.0,-4.9,42,44.0,-2.0,38,43.0,-5.0,38,37.0,1.0,41,39.0,2.0,38,40.0,-2.0
10646,777,563551,ANTONIO NARIÑO,SAN PEDRO,OFICIAL,MAÑANA,1,197.7,222.0,-24.3,53,46.0,7.0,32,42.0,-10.0,35,44.0,-9.0,35,48.0,-13.0,49,38.0,11.0
10667,779,728170,ADAN CORDOBES,JAMUNDÍ,OFICIAL,ÚNICA,4,197.3,199.0,-1.7,45,42.0,3.0,36,40.0,-4.0,37,38.0,-1.0,40,40.0,0.0,39,38.0,1.0
10689,780,718437,VILLABLANCA,CALI,OFICIAL,ÚNICA,9,197.3,202.0,-4.7,41,42.0,-1.0,42,40.0,2.0,35,38.0,-3.0,40,42.0,-2.0,39,39.0,0.0
10702,781,124826,SANTA CECILIA,BUENAVENTURA,OFICIAL,MAÑANA,19,196.9,195.0,1.9,42,40.0,2.0,39,41.0,-2.0,38,35.0,3.0,39,40.0,-1.0,38,38.0,0.0
10711,782,175539,I.E. EL MODELO,BUENAVENTURA,NO OFICIAL,MAÑANA,8,196.5,206.0,-9.5,43,43.0,0.0,40,43.0,-3.0,37,38.0,-1.0,37,41.0,-4.0,40,40.0,0.0
10726,783,268888,ENRIQUE OLAYA HERRERA,BUENAVENTURA,OFICIAL,MAÑANA,33,196.2,194.0,2.2,43,43.0,0.0,39,38.0,1.0,37,36.0,1.0,38,38.0,0.0,39,40.0,-1.0
10736,784,149450,CENTRO EDUCATIVO SANTA ROSA,BUENAVENTURA,NO OFICIAL,MAÑANA,14,195.8,196.0,-0.2,43,43.0,0.0,36,38.0,-2.0,38,36.0,2.0,41,39.0,2.0,35,41.0,-6.0
10765,785,268698,MATTIAS MULUMBA,BUENAVENTURA,OFICIAL,MAÑANA,42,195.4,205.0,-9.6,42,44.0,-2.0,38,42.0,-4.0,38,38.0,0.0,39,41.0,-2.0,37,37.0,0.0
10767,786,105858,REPUBLICA DE VENEZUELA,BUENAVENTURA,OFICIAL,MAÑANA,20,195.4,197.0,-1.6,43,47.0,-4.0,38,40.0,-2.0,35,32.0,3.0,40,37.0,3.0,40,44.0,-4.0
10786,787,153874,JAIME ROOCK,BUENAVENTURA,OFICIAL,MAÑANA,2,195.0,208.0,-13.0,43,47.0,-4.0,40,40.0,0.0,35,37.0,-2.0,39,41.0,-2.0,36,47.0,-11.0
10811,789,56069,PATRICIO OLAVE ANGULO,BUENAVENTURA,OFICIAL,MAÑANA,25,194.6,198.0,-3.4,42,41.0,1.0,38,40.0,-2.0,37,38.0,-1.0,39,41.0,-2.0,38,36.0,2.0
10825,791,555300,SAN LUIS GONZAGA,BUENAVENTURA,OFICIAL,MAÑANA,1,194.2,167.0,27.2,38,38.0,0.0,43,36.0,7.0,29,25.0,4.0,46,36.0,10.0,37,30.0,7.0
10829,792,124743,ANTONIO JOSE DE SUCRE,BUENAVENTURA,OFICIAL,MAÑANA,6,193.8,193.0,0.8,40,42.0,-2.0,38,40.0,-2.0,36,34.0,2.0,42,39.0,3.0,36,37.0,-1.0
10852,793,566091,LAUREANO GOMEZ CASTRO,YUMBO,OFICIAL,MAÑANA,5,193.8,208.0,-14.2,39,46.0,-7.0,38,42.0,-4.0,37,37.0,0.0,40,42.0,-2.0,42,40.0,2.0
10853,794,555672,SEBASTIAN DE BELALCAZAR,BUENAVENTURA,OFICIAL,MAÑANA,11,193.8,174.0,19.8,42,39.0,3.0,38,34.0,4.0,37,33.0,4.0,38,33.0,5.0,39,35.0,4.0
10913,795,130211,RODRIGO LLOREDA,BOLÍVAR,OFICIAL,MAÑANA,8,192.3,252.0,-59.7,43,55.0,-12.0,40,48.0,-8.0,33,49.0,-16.0,35,50.0,-15.0,47,49.0,-2.0
10950,796,555755,MARINA SOLANO,BUENAVENTURA,OFICIAL,MAÑANA,21,191.5,215.0,-23.5,40,47.0,-7.0,37,42.0,-5.0,36,42.0,-6.0,41,42.0,-1.0,36,40.0,-4.0
10961,797,172908,JUAN JOSE RONDON,BUENAVENTURA,OFICIAL,MAÑANA,68,191.2,195.0,-3.8,41,43.0,-2.0,39,38.0,1.0,36,36.0,0.0,37,39.0,-2.0,38,39.0,-1.0
10962,798,101733,MARIA ANALIA ORTIZ HORMAZA,OBANDO,OFICIAL,MAÑANA,9,191.2,225.0,-33.8,41,47.0,-6.0,37,46.0,-9.0,35,43.0,-8.0,40,45.0,-5.0,38,43.0,-5.0
10964,799,36764,PASCUAL DE ANDAGOYA,BUENAVENTURA,OFICIAL,TARDE,24,191.2,193.0,-1.8,40,43.0,-3.0,38,39.0,-1.0,37,36.0,1.0,38,37.0,1.0,38,38.0,0.0
11034,800,556043,SAGRADO CORAZON DE JESUS,BUENAVENTURA,OFICIAL,MAÑANA,2,189.2,174.0,15.2,45,37.0,8.0,29,31.0,-2.0,38,34.0,4.0,37,37.0,0.0,45,35.0,10.0
11043,801,95109,INSTITUCIÓN AGROPECUARIA JOSÉ MARÍA  - SEDE PRINCIPAL,BUENAVENTURA,OFICIAL,MAÑANA,15,188.8,198.0,-9.2,41,43.0,-2.0,36,41.0,-5.0,36,37.0,-1.0,38,38.0,0.0,38,38.0,0.0
11070,802,555185,CALLE HONDA,BUENAVENTURA,OFICIAL,MAÑANA,6,188.1,223.0,-34.9,43,52.0,-9.0,33,46.0,-13.0,37,42.0,-5.0,39,41.0,-2.0,33,38.0,-5.0
11081,803,660399,LICEO MAYOR LATINO,BUENAVENTURA,NO OFICIAL,MAÑANA,11,188.1,203.0,-14.9,45,45.0,0.0,34,41.0,-7.0,35,37.0,-2.0,36,39.0,-3.0,39,41.0,-2.0
11097,804,555425,SAN PEDRO,BUENAVENTURA,OFICIAL,MAÑANA,20,187.3,178.0,9.3,41,38.0,3.0,36,36.0,0.0,37,33.0,4.0,37,36.0,1.0,34,35.0,-1.0
11116,805,163261,NTRA SEÑORA DEL PERPETUO SOCORRO,BUENAVENTURA,OFICIAL,MAÑANA,4,186.5,207.0,-20.5,41,42.0,-1.0,34,42.0,-8.0,34,41.0,-7.0,40,41.0,-1.0,38,39.0,-1.0
11142,806,555581,ANTONIO JOSE RUIZ,BUENAVENTURA,OFICIAL,MAÑANA,9,185.4,220.0,-34.6,40,48.0,-8.0,35,47.0,-12.0,36,43.0,-7.0,38,40.0,-2.0,35,39.0,-4.0
11173,808,657825,INSTITUCION EDUCATIVA VASCO NUÑEZ DE BALBOA,BUENAVENTURA,OFICIAL,MAÑANA,9,184.2,186.0,-1.8,42,42.0,0.0,34,36.0,-2.0,35,33.0,2.0,36,37.0,-1.0,38,39.0,-1.0
11189,809,646679,SAN JOSE,BUENAVENTURA,OFICIAL,MAÑANA,1,183.5,177.0,6.5,42,38.0,4.0,43,39.0,4.0,27,32.0,-5.0,35,32.0,3.0,36,37.0,-1.0
11196,810,555326,SAN JOSE,BUENAVENTURA,OFICIAL,MAÑANA,14,183.1,197.0,-13.9,39,40.0,-1.0,35,42.0,-7.0,35,37.0,-2.0,37,39.0,-2.0,38,38.0,0.0
11208,811,555474,JOSE JOAQUIN CAICEDO Y CUERO,BUENAVENTURA,OFICIAL,MAÑANA,4,182.3,190.0,-7.7,40,42.0,-2.0,38,36.0,2.0,33,36.0,-3.0,35,39.0,-4.0,36,34.0,2.0
11235,812,716068,CENTRO DE FORMACION JUVENIL BUEN PASTOR,CALI,OFICIAL,MAÑANA,14,180.8,172.0,8.8,37,42.0,-5.0,34,35.0,-1.0,36,29.0,7.0,38,31.0,7.0,35,35.0,0.0
11237,813,555193,PASCUAL DE ANDAGOYA,BUENAVENTURA,OFICIAL,MAÑANA,13,180.8,181.0,-0.2,37,40.0,-3.0,37,32.0,5.0,33,34.0,-1.0,37,38.0,-1.0,38,38.0,0.0
11242,815,635961,"INSTITUCIÓN  EDUCATIVA LA MEDALLA MILAGROSA - SEDE
PRINCIPAL",BUENAVENTURA,NO OFICIAL,TARDE,12,180.4,182.0,-1.6,38,40.0,-2.0,32,36.0,-4.0,35,34.0,1.0,38,35.0,3.0,40,37.0,3.0
11251,816,555235,LA PRIMAVERA,BUENAVENTURA,OFICIAL,MAÑANA,18,179.6,174.0,5.6,39,36.0,3.0,34,36.0,-2.0,34,31.0,3.0,37,36.0,1.0,35,36.0,-1.0
11262,817,556068,SANTA TERESITA,BUENAVENTURA,OFICIAL,MAÑANA,2,178.5,163.0,15.5,36,37.0,-1.0,31,28.0,3.0,35,28.0,7.0,40,36.0,4.0,38,37.0,1.0
11280,818,555565,CONCEPCION,BUENAVENTURA,OFICIAL,MAÑANA,12,176.9,168.0,8.9,36,36.0,0.0,33,32.0,1.0,34,32.0,2.0,38,34.0,4.0,37,36.0,1.0
11310,819,646687,SAN MARTIN,BUENAVENTURA,OFICIAL,MAÑANA,10,174.2,179.0,-4.8,36,39.0,-3.0,32,37.0,-5.0,33,30.0,3.0,38,37.0,1.0,36,36.0,0.0
